S.No,Name,CMP Rs,PE,Mar Cap Rs Cr,Div Yld %,NP Qtr Rs Cr,Qtr Profit Var %,Sales Qtr Rs Cr,Qtr Sales Var %,ROCE %
1,Reliance Industr,1537.40,27.16,2080481.74,0.36,22092.00,9.67,254623.00,9.97,9.69
2,HDFC Bank,990.00,21.06,1522868.50,1.10,20363.77,10.01,86993.84,4.81,7.51
3,Bharti Airtel,2066.30,38.41,1239245.76,0.78,8650.80,65.11,52145.40,25.73,13.48
4,TCS,3184.20,22.92,1152071.43,1.87,12131.00,8.54,65799.00,2.40,64.63
5,ICICI Bank,1362.85,18.30,974347.41,0.80,14318.15,3.16,48180.91,4.00,7.87
6,SBI,958.40,11.26,884662.30,1.66,21860.59,-4.25,128040.50,5.78,6.47
7,Infosys,1585.00,23.43,658507.88,2.70,7375.00,13.19,44490.00,8.55,37.50
8,Bajaj Finance,1008.50,34.28,627537.36,0.43,4947.76,21.89,20178.90,18.06,11.35
9,Larsen & Toubro,3980.55,33.93,547556.96,0.85,4678.01,15.63,67983.53,10.44,14.49
10,Life Insurance,858.50,10.73,543001.03,1.39,10095.92,30.66,241524.29,4.50,53.13
11,Hind. Unilever,2299.30,51.11,540241.43,1.85,2694.00,-2.14,16241.00,1.98,27.85
12,ITC,403.10,25.01,505034.49,3.54,5186.55,2.91,19501.63,-2.44,36.79
13,Maruti Suzuki,15941.70,33.84,501211.13,0.84,3349.00,7.95,42344.20,13.07,21.70
14,HCL Technologies,1664.40,26.66,451662.45,3.22,4236.00,0.00,31942.00,10.67,31.61
15,M & M,3630.95,31.71,451518.97,0.70,3963.75,15.85,46105.67,21.57,13.93
16,Sun Pharma.Inds.,1786.25,37.15,428581.21,0.90,3124.95,2.56,14478.31,8.93,20.21
17,Kotak Mah. Bank,2126.65,22.79,422938.14,0.12,4468.27,-11.42,17198.74,4.70,8.17
18,Axis Bank,1276.70,15.18,396291.64,0.08,5566.56,-25.31,32309.77,2.24,7.11
19,Titan Company,3843.65,82.63,341233.87,0.29,1120.00,59.09,18725.00,28.84,19.14
20,UltraTech Cem.,11315.90,45.44,333456.02,0.67,1237.98,75.23,19606.93,20.33,10.89
21,Bajaj Finserv,2066.05,34.14,330116.18,0.05,4746.47,7.53,37402.93,10.98,11.03
22,Adani Ports,1498.65,26.92,323729.10,0.47,3120.20,25.07,9167.46,29.72,13.80
23,NTPC,320.95,13.13,311214.53,2.61,5225.30,-3.94,44785.82,0.18,9.95
24,O N G C,238.90,8.25,300542.86,5.17,12614.60,5.19,157911.08,-0.89,12.04
25,Hind.Aeronautics,4291.10,33.91,286978.09,0.93,1669.05,10.82,6628.61,10.92,33.88
26,Adani Enterp.,2217.35,115.32,286632.91,0.06,3414.43,-62.74,21248.51,-6.01,9.45
27,Bharat Electron,387.40,49.64,283180.86,0.62,1287.16,17.88,5792.09,25.78,38.88
28,Eternal Ltd,284.20,1458.92,274263.01,0.00,65.00,-63.07,13590.00,183.18,2.66
29,Adani Power,141.50,22.59,272878.48,0.00,2906.46,-11.38,13456.84,0.88,22.54
30,Wipro,258.30,20.10,270847.03,2.33,3262.40,1.17,22697.30,1.77,19.51
31,Asian Paints,2807.80,67.04,269323.53,0.89,1018.23,20.45,8531.27,6.28,25.72
32,JSW Steel,1098.00,43.90,268510.92,0.25,1646.00,166.16,45152.00,13.78,8.11
33,Bajaj Auto,8983.30,30.18,250865.57,2.34,2122.03,53.17,15734.74,18.78,28.06
34,Avenue Super.,3814.35,90.82,248212.31,0.00,684.85,3.86,16676.30,15.45,17.95
35,Power Grid Corpn,265.85,16.26,247256.54,3.39,3566.08,-5.98,11475.95,1.76,12.78
36,Coal India,381.95,7.51,235385.45,6.97,4262.64,-30.76,30186.70,-3.19,48.04
37,Nestle India,1210.70,78.03,233461.00,1.11,753.20,-1.88,5643.61,10.57,95.66
38,I O C L,163.20,9.55,230458.53,1.85,8190.86,1388.14,178628.15,2.09,7.36
39,Hindustan Zinc,512.20,20.68,216420.92,5.67,2632.00,11.58,8525.00,3.43,60.73
40,Vedanta,523.85,15.99,204845.64,8.29,3479.00,-22.44,39868.00,5.94,25.26
41,Tata Steel,162.40,27.61,202732.42,2.23,3183.09,310.38,58689.29,8.88,8.83
42,SBI Life Insuran,2013.45,82.34,201889.62,0.13,494.59,-6.58,23115.32,-42.64,16.88
43,Eicher Motors,7216.70,38.90,197953.54,0.98,1369.45,24.46,6171.59,44.77,29.81
44,Hyundai Motor I,2315.25,33.48,188123.58,0.90,1570.25,17.38,17061.03,1.10,54.25
45,Grasim Inds,2743.60,43.12,186707.47,0.36,1498.04,68.24,39899.58,16.59,7.50
46,Interglobe Aviat,4810.10,36.71,185953.98,0.20,-2614.10,-164.37,18555.30,9.34,17.34
47,Jio Financial,290.45,114.71,184531.17,0.17,695.04,0.87,981.39,41.51,1.47
48,Hindalco Inds.,821.10,10.32,184519.79,0.62,4741.00,14.25,66058.00,13.50,14.80
49,LTIMindtree,6220.00,37.86,184416.34,1.03,1381.20,12.00,10394.30,10.19,27.63
50,TVS Motor Co.,3609.20,65.78,171468.39,0.28,832.76,41.93,14051.22,24.33,15.35
51,DLF,684.00,43.93,169311.27,0.87,1180.09,-27.08,1643.04,-16.81,6.51
52,Divi's Lab.,6300.00,67.24,167245.21,0.48,689.00,35.10,2715.00,16.12,20.44
53,HDFC Life Insur.,771.60,87.94,166422.14,0.28,448.29,3.01,20650.68,-27.53,6.58
54,Adani Green,993.15,74.55,163589.28,0.00,644.00,102.55,3008.00,0.10,8.70
55,Varun Beverages,473.25,53.90,160052.61,0.21,745.19,19.62,4896.65,1.91,24.85
56,Shriram Finance,834.70,17.93,157030.42,1.16,2314.16,12.22,11912.44,18.07,10.95
57,B P C L,354.40,7.19,153756.61,2.80,6191.49,168.30,104946.27,2.10,16.22
58,Tech Mahindra,1550.40,33.87,151886.63,2.85,1201.70,-4.45,13994.90,5.12,18.56
